id,names,categories,altCategories,websites,socials,phones,brand,street,city,postcode,state,country
08f26e5a34172b1e03b336f319309c40,Maurices,women's_clothing_store,,"[""https://locations.maurices.com/us/ks/lawrence/3226-iowa-street""]","[""https://www.facebook.com/156790038073579""]","[""+17858410334""]","{""names"":{""common"":[{""value"":""maurices"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",3226 Iowa St,Lawrence,66046-5204,KS,US
08f26e5b1e66679503b4a62dca9621b3,Sweet Tea and Caviar Boutique,children's_clothing_store,,"[""http://www.sweetteacaviar.com""]","[""https://www.facebook.com/578282468897935""]","[""+14092274029""]",,700 N Main St,Lumberton,77657-7355,TX,US
08f26e5b1c4ca06803e7c9f291900e0d,Spectator's,clothing_store,,"[""http://spectators.com/""]","[""https://www.facebook.com/111383935325""]","[""+17858431771""]",,710 Massachusetts St,Lawrence,66044-2344,KS,US
08f2656781684cb4039f78e34423f2b2,Urban Sunflower,women's_clothing_store,,"[""http://www.shopurbansunflower.com""]","[""https://www.facebook.com/313207055810061""]","[""+19135158686""]",,11176 S Lone Elm Rd,Olathe,66061-9434,KS,US
08f2656621cd2dae03d745eee1fc71f5,Frankie & Jules Boutique,women's_clothing_store,,"[""http://www.frankieandjules.com/""]","[""https://www.facebook.com/154548223713""]","[""+19135441700""]",,4866 W 135th St,Leawood,66224-8715,KS,US
08f2656624ad928303b1f820d0fb052c,Lilly Pulitzer,clothing_store,,"[""https://www.lillypulitzer.com/store/details/?storeid=80228-279&city=overland-park&utm_source=fb&utm_medium=yext""]","[""https://www.facebook.com/817219415096547""]","[""+19134511445""]","{""names"":{""common"":[{""value"":""Lilly Pulitzer"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",4823 W 119th St,Overland Park,66209-1560,KS,US
08f265662406c0d40366423ccc835c9d,Altar'd State,women's_clothing_store,,"[""https://www.altardstate.com/""]","[""https://www.facebook.com/199242590565224""]","[""+19134996060""]","{""names"":{""common"":[{""value"":""Altar'd State"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",5238 W 119th St,Leawood,66209-1529,KS,US
08f265671e66696203ce1f1bd967b79b,francesca's,women's_clothing_store,,"[""https://www.francescas.com/""]","[""https://www.facebook.com/119859278070904""]","[""+19134282742""]","{""names"":{""common"":[{""value"":""francesca's"",""language"":""local""}],""official"":null,""alternate"":null,""short"":null},""wikidata"":null}",11445 W 95th St,Overland Park,66214-1827,KS,US
08f265671e75d6dd03f41bf347da2cce,B. Royal Boutique,women's_clothing_store,,"[""https://www.broyalboutique.com/""]",,"[""""]",,11579 W 95th St,Overland Park,66214,KS,US
08f2656703dad6110366a392e342b41b,ensemble,women's_clothing_store,,"[""http://www.ensemblekc.com""]","[""https://www.facebook.com/964192770352657""]","[""+19132838132""]",,7941 Santa Fe Dr,Overland Park,66204-3644,KS,US
08f265670ea46d9a0312ae065a059d18,Story Boutique,women's_clothing_store,,"[""http://www.storyb.org""]","[""https://www.facebook.com/112969182098197""]","[""+19136422292""]",,3704 W 95th St,Leawood,66206-2037,KS,US
08f265672c4d56d103929e89bf67f207,Lauren Alexandra,children's_clothing_store,,"[""http://www.laurenalexandraworld.com""]","[""https://www.facebook.com/256371158086""]","[""+18168222539""]",,322 W 63rd St,Kansas City,64113-1604,MO,US
08f265672c4ead030326c97e87483ba3,COCO brookside - now LADYCO at 314 W 63rd St KCMO 64113,women's_clothing_store,,"[""http://www.ladybyekc.com/""]","[""https://www.facebook.com/109458569857542""]","[""+18164425923""]",,314 W 63rd St,Kansas City,64113-1604,MO,US
08f265672c720cb1034e95b020206a29,Shopgirls Kansas City,women's_clothing_store,,"[""https://www.shopgirls.com/""]","[""https://www.facebook.com/150720135005822""]","[""+18164469316""]",,6215 Oak St,Kansas City,64113-2241,MO,US
08f2656742c4a30903b370af126d99c0,Chosen,women's_clothing_store,,"[""https://rendedheart.org/chosen/""]","[""https://www.facebook.com/100850835760973""]","[""+18163434558""]",,1014 Main St,Grandview,64030-2456,MO,US
08f265676951160503f7c8dcf8b28465,The Girls Spot,women's_clothing_store,,"[""http://shopwiththegirls.com/""]","[""https://www.facebook.com/317447331700303""]","[""+19133266646""]",,,Lees Summit,,MO,US
